original,cleaned,count
ABERDEEN,ABERDEEN,3
ABINGDON,ABINGDON,1
ACCOKEEK,ACCOKEEK,2
ALEXANDRIA,ALEXANDRIA,2
ALLEN,ALLEN,1
ANNAOPLIS,ANNAPOLIS,1
ANNAPOLIS,ANNAPOLIS,103
ARNOLD,ARNOLD,5
AUGUSTINE BEACH,AUGUSTINE BEACH,3
AVENUE,AVENUE,2
BALTIMORE,BALTIMORE,11
BALTIMORE CITY,BALTIMORE CITY,6
BARNUM WV,BARNUM WV,1
BAY RIDGE,BAY RIDGE,1
BEACH,BEACH,1
BEACHVILLE,BEACHVILLE,1
BEAR,BEAR,2
BEL ALTON,BEL ALTON,1
BENEDICT,BENEDICT,2
BERLIN,BERLIN,13
BETHANY,BETHANY BEACH,1
BETHANY BEACH,BETHANY BEACH,11
BETTERON,BETTERON,2
BETTERTON,BETTERTON,19
BIG POOL,BIG POOL,1
BISHOPEVILLE,BISHOPSVILLE,1
BISHOPSVILLE,BISHOPSVILLE,1
BISHOPVILLE,BISHOPSVILLE,1
BIVALVE,BIVALVE,1
BLOOMINGTON,BLOOMINGTON,1
BOWERS,BOWERS,1
BOWERS BEACH,BOWERS BEACH,3
BOWLEY'S QUARTER,BOWLEY'S QUARTER,2
BOZMAN,BOZMAN,3
BRANDON SHORES,BRANDON SHORES,1
BREEZY POINT,BREEZY POINT,1
BRENTLAND,BRENTLAND,1
BRETON BAY,BRETON BAY,1
BROADKILL BEACH,BROADKILL BEACH,1
BROOME'S ISLAND,BROOME'S ISLAND,1
BROOMES ISLAND,BROOME'S ISLAND,3
BRUNSWICK,BRUNSWICK,2
BRYANS RD,BRYANS RD,1
BRYANS ROAD,BRYANS ROAD,2
BUDDS CREEK,BUDDS CREEK,1
BUSHWOOD,BUSHWOOD,1
CALIFORNIA,CALIFORNIA,2
CAMBRIDGE,CAMBRIDGE,17
CAPE LEONARD,CAPE LEONARD,1
CAPE ST. CLAIRE,CAPE ST. CLAIRE,4
CECELTON,CECELTON,1
CECILTON,CECILTON,1
CENTREVILLE,CENTREVILLE,6
"CENTREVILLE, MD",CENTREVILLE,1
CHANCE,CHANCE,1
CHAPTICO,CHAPTICO,2
CHARLESTOWN,CHARLESTOWN,9
CHARLESTOWNE,CHARLESTOWNE,1
CHESAPEAKE BEACH,CHESAPEAKE BEACH,8
CHESAPEAKE CITY,CHESAPEAKE CITY,22
CHESPAEAKE CITY,CHESPAEAKE CITY,1
CHESTER,CHESTER,23
CHESTERTOWN,CHESTERTOWN,30
CHURCH HILL,CHURCH HILL,2
CHURCHTON,CHURCHTON,1
CLAIBORNE,CLAIBORNE,5
CLEAR SPRING,CLEAR SPRING,2
CLEAR SPRINGS,CLEAR SPRINGS,1
CLIFF CITY,CLIFF CITY,1
CLIFFS CITY,CLIFFS CITY,1
CMABRIDGE,CMABRIDGE,1
COBB ISLAND,COBB ISLAND,6
COLES POINT,COLES POINT,1
COLONIAL BEACH,COLONIAL BEACH,1
COLORA,COLORA,1
COLTON'S POINT,COLTON'S POINT,2
COLTONS POINT,COLTONS POINT,3
COLUMBIA BEACH,COLUMBIA BEACH,1
CONOWINGO,CONOWINGO,1
CORDOVA,CORDOVA,1
COURTHOUSE POINT,COURTHOUSE POINT,1
COVE POINT,COVE POINT,1
COX ALLEY,COX ALLEY,1
CRAPO,CRAPO,1
CRISFIELD,CRISFIELD,4
CROWNSVILLE,CROWNSVILLE,10
CRUMPTON,CRUMPTON,1
CURTIS BAY,CURTIS BAY,4
D.C.,D.C.,1
DAGSBORO,DAGSBORO,3
DARLINGTON,DARLINGTON,1
DARNESTOWN,DARNESTOWN,1
DARNSTOWN,DARNSTOWN,1
DAVIDSONVILLE,DAVIDSONVILLE,1
DC,DC,1
DEAL ISLAND,DEAL ISLAND,2
DEALE,DEALE,18
DEER PARK,DEER PARK,1
DELAWARE CITY,DELAWARE CITY,13
DENTON,DENTON,1
DEWEY,DEWEY,1
DEWEY BEACH,DEWEY BEACH,19
DEWY BEACG,DEWY BEACG,1
DEWY BEACH,DEWY BEACH,2
DICKERSON,DICKERSON,1
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,1
DOWNSVILLE,DOWNSVILLE,3
DRUM POINT,DRUM POINT,2
DUNDALK,DUNDALK,14
EARLEVILLE,EARLEVILLE,9
EARLVILLE,EARLVILLE,1
EASTON,EASTON,4
EDEN,EDEN,1
EDGEMERE,EDGEMERE,6
EDGEWATER,EDGEWATER,23
EDGEWOOD,EDGEWOOD,2
EDGEWOOD MD,EDGEWOOD MD,1
ELDERSBURG,ELDERSBURG,1
ELKTON,ELKTON,9
ELTON,ELTON,1
ESSESX,ESSESX,1
ESSEX,ESSEX,34
ESSEX MD,ESSEX MD,1
"ESSEX, MD","ESSEX, MD",1
EWELL,EWELL,1
FAIRLEE,FAIRLEE,2
FAIRMOUNT,FAIRMOUNT,2
FAIRVIEW,FAIRVIEW,1
FAIRVIEW BEACH,FAIRVIEW BEACH,6
FALLING WATERS,FALLING WATERS,1
"FALLING WATERS, WV","FALLING WATERS, WV",1
FAULKNER,FAULKNER,2
FEDERALSBURG,FEDERALSBURG,1
"FENWICK DITCH, DE","FENWICK DITCH, DE",1
FENWICK ISLAND,FENWICK ISLAND,11
"FIARVIEW  BEACH, VA","FIARVIEW  BEACH, VA",1
FISHING CREEK,FISHING CREEK,1
FOREST HEIGHTS,FOREST HEIGHTS,1
FORT HOWARD,FORT HOWARD,2
FORT WASHINGTON,FORT WASHINGTON,1
FREDERICKTOWN,FREDERICKTOWN,1
FRIENDSVILLE,FRIENDSVILLE,3
FT HOWARD,FT HOWARD,1
FT WASHINGTON,FT WASHINGTON,2
FT. WASHINGTON,FT. WASHINGTON,1
GAITHERSBURG,GAITHERSBURG,1
GALENA,GALENA,3
GALESVILLE,GALESVILLE,6
GEORGETOWN,GEORGETOWN,14
GERMANTOWN,GERMANTOWN,2
GIBSON ISLAND,GIBSON ISLAND,9
GLEN BURNIE,GLEN BURNIE,8
GLIPIN POINT,GLIPIN POINT,1
GRANSONSVILLE,GRANSONSVILLE,1
GRASONVILLE,GRASONVILLE,19
GRAYSONVILLE,GRAYSONVILLE,1
HACKS POINT,HACKS POINT,3
"HAGUE, VA","HAGUE, VA",1
HALLOWING POINT,HALLOWING POINT,1
HARFVE DE GRACE,HARFVE DE GRACE,1
HARPERS FERRY,HARPERS FERRY,1
"HARPERS FERRY, WV","HARPERS FERRY, WV",1
HARVE DE GRACE,HARVE DE GRACE,1
HAVRE DE GRACE,HAVRE DE GRACE,15
HERALD HARBOR,HERALD HARBOR,1
HERINGTON,HERINGTON,1
HIGHLAND BEACH,HIGHLAND BEACH,1
HILLSBORO,HILLSBORO,1
HOLLYWOOD,HOLLYWOOD,3
HOOPERS ISLAND,HOOPERS ISLAND,1
HOOPERSVILLE,HOOPERSVILLE,2
HOOPERVILLE,HOOPERVILLE,1
INDIAN HEAD,INDIAN HEAD,11
INDIAN HEAD NAVAL BASE,INDIAN HEAD NAVAL BASE,1
ISSUE,ISSUE,2
JOPPATOWNE,JOPPATOWNE,1
KENNDEYVILLE,KENNDEYVILLE,1
KENNEDYVILLE,KENNEDYVILLE,2
KENT ISLAND,KENT ISLAND,1
KENTMORE PARK,KENTMORE PARK,1
KING GEORGE,KING GEORGE,1
"KING GEORGE, VA","KING GEORGE, VA",1
KIRKWOOD,KIRKWOOD,2
KNOXVILLE,KNOXVILLE,2
LA PLATA,LA PLATA,2
LAKE SHORE,LAKE SHORE,1
LANDER,LANDER,1
LAUREL,LAUREL,1
LEESYLVANIA STATE PARK,LEESYLVANIA STATE PARK,1
LEONARDTOWN,LEONARDTOWN,4
LEWES,LEWES,13
"LEWISETTA, VA","LEWISETTA, VA",1
LEXINGTON PARK,LEXINGTON PARK,6
LITLE CREEK,LITLE CREEK,1
LITTLE CREEK,LITTLE CREEK,1
"LITTLE CREEK, DELAWARE","LITTLE CREEK, DELAWARE",1
LONG NECK,LONG NECK,2
LONGNECK,LONGNECK,1
LOTTSBURG,LOTTSBURG,1
LOVE POINT,LOVE POINT,1
LUSBY,LUSBY,8
MADDOX,MADDOX,1
MARBURY,MARBURY,5
MARDELA SPRINGS,MARDELA SPRINGS,1
MATAPEAKE,MATAPEAKE,1
MAYO,MAYO,7
MC HENRY,MC HENRY,8
MCDANIEL,MCDANIEL,1
MCHENERY,MCHENERY,7
"MCHENERY, MD","MCHENERY, MD",1
MCHENREY,MCHENREY,1
MCHENRY,MCHENRY,159
"MCHENRY, MD","MCHENRY, MD",2
MECHANICSVILLE,MECHANICSVILLE,2
MIDDLE RIVER,MIDDLE RIVER,21
MIDDLETOWN,MIDDLETOWN,2
MILFORD,MILFORD,5
MILLER'S ISLAND,MILLER'S ISLAND,1
MILLERS ISLAND,MILLERS ISLAND,2
MILLSBORO,MILLSBORO,24
MILLVILLE,MILLVILLE,1
MILTON,MILTON,1
MMAYO,MMAYO,1
MORGANTOWN,MORGANTOWN,3
"MT AIRY, VA","MT AIRY, VA",1
MT LAKE PARK,MT LAKE PARK,1
MT VERNON,MT VERNON,1
MT. VERNON,MT. VERNON,1
NANJEMOY,NANJEMOY,11
NANTICOKE,NANTICOKE,3
NATIONAL HABOR,NATIONAL HABOR,1
NEW CASTLE,NEW CASTLE,5
NEW MARKET,NEW MARKET,1
NEWBURG,NEWBURG,9
NEWCASTLE,NEWCASTLE,1
NEWPORT,NEWPORT,1
NORTH BEACH,NORTH BEACH,1
NORTH EAST,NORTH EAST,19
NORTH POINT,NORTH POINT,1
NORTHEAST,NORTHEAST,4
NORTHPOINT,NORTHPOINT,3
OAKLAND,OAKLAND,67
"OAKLAND, MD","OAKLAND, MD",1
OCEAN,OCEAN,1
OCEAN CITY,OCEAN CITY,295
OCEAN PINES,OCEAN PINES,15
OCEAN PINES/BERLIN,OCEAN PINES/BERLIN,1
OCEAN VIEW,OCEAN VIEW,3
OCEANVIEW,OCEANVIEW,1
"OLD TOWN ALEXANDRIA, VA","OLD TOWN ALEXANDRIA, VA",1
ORCHARD BEACH,ORCHARD BEACH,1
ORIOLE,ORIOLE,1
OWINGS,OWINGS,2
OXFORD,OXFORD,9
OXON HILL,OXON HILL,1
PASADEN,PASADEN,1
PASADENA,PASADENA,46
PEENS GROVE,PEENS GROVE,1
PENTAGON CITY,PENTAGON CITY,1
PERRY HALL,PERRY HALL,1
PERRYMAN,PERRYMAN,1
PERRYVILLE,PERRYVILLE,7
PINEY POINT,PINEY POINT,7
POCOMOKE,POCOMOKE,1
POINT OF ROCKS,POINT OF ROCKS,2
POOLESVILLE,POOLESVILLE,2
PORT DEPOSIT,PORT DEPOSIT,3
PORT PENN,PORT PENN,7
PORT REPUBLIC,PORT REPUBLIC,2
PORT TOBACCO,PORT TOBACCO,6
POTOMAC,POTOMAC,1
PRESTON,PRESTON,2
PRINCE FREDERICK,PRINCE FREDERICK,6
PT PLEASANT,PT PLEASANT,1
PUBLIC LANDING,PUBLIC LANDING,1
QUANTICO,QUANTICO,1
QUEENSTOWN,QUEENSTOWN,12
RAGGED POINT,RAGGED POINT,1
REHOBETH,REHOBETH,1
REHOBOTH,REHOBOTH,4
REHOBOTH BEACH,REHOBOTH BEACH,4
RIDGE,RIDGE,4
RIDGELY,RIDGELY,1
RIVA,RIVA,2
RIVIERA BEACH,RIVIERA BEACH,2
ROCK HALL,ROCK HALL,16
ROCKHALL,ROCKHALL,3
ROCKWWOD BEACH,ROCKWWOD BEACH,1
ROMANCOKE,ROMANCOKE,2
ROSE HAVEN,ROSE HAVEN,1
ROSEHAVEN,ROSEHAVEN,2
ROYAL OAK,ROYAL OAK,3
RUMBLY,RUMBLY,1
SAINT LEONARD,SAINT LEONARD,1
SAINT MICHAELS,SAINT MICHAELS,1
SALISBURY,SALISBURY,9
SANDYLAND BEACH,SANDYLAND BEACH,1
SCOTLAND,SCOTLAND,7
SEAFORD,SEAFORD,2
SECRETARY,SECRETARY,2
SEVERNA PARK,SEVERNA PARK,10
SHADY SIDE,SHADY SIDE,6
SHADYSIDE,SHADYSIDE,1
SHARPSBURG,SHARPSBURG,2
SHARPTOWN,SHARPTOWN,2
SHRPSBURG,SHRPSBURG,1
SMYRNA,SMYRNA,3
SNOW HILL,SNOW HILL,7
SNUG HARBOR,SNUG HARBOR,1
SOLLEY,SOLLEY,1
SOLOMON'S ISLAND,SOLOMON'S ISLAND,2
SOLOMONS,SOLOMONS,10
SOLOMONS HARBOR,SOLOMONS HARBOR,1
SOLOMONS ISLAND,SOLOMONS ISLAND,7
SOUTH BETHANY,SOUTH BETHANY,2
SPARROWS POINT,SPARROWS POINT,4
ST GEORGE,ST GEORGE,1
ST LEONARD,ST LEONARD,1
ST MARY'S CITY,ST MARY'S CITY,1
ST MICHAELS,ST MICHAELS,5
ST. GEORGE,ST. GEORGE,1
ST. GEORGE'S,ST. GEORGE'S,1
ST. GEORGES,ST. GEORGES,1
ST. GEORGES ISLAND,ST. GEORGES ISLAND,1
ST. LEONARD,ST. LEONARD,3
ST. MARYS,ST. MARYS,1
ST. MICHAELS,ST. MICHAELS,14
STAFFORD,STAFFORD,1
STERLING VA,STERLING VA,1
STEVENSVILLE,STEVENSVILLE,28
STEVENVILLE,STEVENVILLE,7
STILL POND,STILL POND,28
STILLPOND,STILLPOND,2
STOCKTON,STOCKTON,1
STUMP NECK,STUMP NECK,1
SUMMERS PT -NJ,SUMMERS PT -NJ,1
SWAN TON,SWAN TON,1
SWANTON,SWANTON,79
"SWANTON, MD","SWANTON, MD",1
SWANTOWN,SWANTOWN,1
TALL TIMBERS,TALL TIMBERS,2
TAYLOR ISLAND,TAYLOR ISLAND,1
TAYLOR'S ISLAND,TAYLOR'S ISLAND,1
TAYLORS ISLAND,TAYLORS ISLAND,1
THAYERVILLE,THAYERVILLE,1
THOMAS,THOMAS,1
"TIDWELL, VA","TIDWELL, VA",1
TIGHMAN,TIGHMAN,1
TILGHMAN,TILGHMAN,9
TILGHMAN ISLAND,TILGHMAN ISLAND,3
TILGHMAN ISLAND MD,TILGHMAN ISLAND MD,1
TILGMAN,TILGMAN,1
TODDVILLE,TODDVILLE,1
TOWN CREEK,TOWN CREEK,1
TOWNSEND,TOWNSEND,1
TRACY'S LANDING,TRACY'S LANDING,1
TRAPPE,TRAPPE,3
UNKNOWN,UNKNOWN,1
VIENNA,VIENNA,2
WALDORF,WALDORF,1
WASHINGTON,WASHINGTON,9
"WASHINGTON, DC","WASHINGTON, DC",9
WELCOME,WELCOME,4
WEST OCEAN CITY,WEST OCEAN CITY,1
WESTOVER,WESTOVER,1
WHITMAN,WHITMAN,1
WICOMICO SHORES,WICOMICO SHORES,1
WILLIAMSPORT,WILLIAMSPORT,8
WILMINGTON,WILMINGTON,3
WITTMAN,WITTMAN,1
WOODBRIDGE,WOODBRIDGE,1
WORTON,WORTON,24
WYE  MILLS,WYE  MILLS,1
WYE MILLS,WYE MILLS,3
